"","COLLISION_TYPE","FATAL_OR_MAJ_INJ","DAY_OF_WEEK","CRASH_MONTH","CELL_PHONE","IMPAIRED_DRIVER","FATIGUE_ASLEEP","SPEEDING_RELATED","WEATHER","SPEED_LIMIT","DEC_LAT","DEC_LONG"
"190","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",45,40.58200073,-80.0381012
"191","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Rain",25,40.59880066,-80.05169678
"192","Rear-end",FALSE,"Sunday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.45619965,-80.16560364
"193","Sideswipe (Opposite dir.)",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.38420105,-79.99420166
"194","Hit pedestrian",TRUE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Other",25,40.54040146,-80.14959717
"195","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",35,40.31140137,-79.94830322
"196","Angle",FALSE,"Monday",1,FALSE,FALSE,FALSE,FALSE,"Snow",55,40.42789841,-79.92489624
"197","Angle",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",30,40.33250046,-80.07039642
"198","Hit pedestrian",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Rain",25,40.38359833,-79.98690033
"199","Hit fixed object",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,TRUE,"No adverse conditions",40,40.35250092,-79.79889679
"200","Angle",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",25,40.44010162,-79.99639893
"201","Rear-end",FALSE,"Saturday",1,FALSE,FALSE,FALSE,FALSE,"Other",25,40.51539993,-80.04550171
"202","Angle",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.42169952,-80.04989624
"203","Rear-end",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"No adverse conditions",25,40.39530182,-79.99739838
"204","Hit fixed object",FALSE,"Saturday",1,FALSE,FALSE,FALSE,TRUE,"Other",35,40.50389862,-80.01000214
"205","Rear-end",FALSE,"Tuesday",1,FALSE,FALSE,FALSE,FALSE,"Snow",40,40.47850037,-79.9673996
